 nlayers, height, LOG10C01, LOG10C02, LOG10T01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  2, 43.97, -2.598865e+00, -9.718681e-01,  1.860086e+00,  1.456280e+03,  4.833908e+02,  1.942009e+02,  1.067479e+02,  7.060717e+01,  5.093147e+01,  3.789341e+01,  2.853169e+01,  2.147004e+01,  1.608038e+01,  1.187949e+01,  8.601245e+00,  6.127440e+00,  4.277002e+00,  2.914524e+00,  1.942632e+00,  1.259935e+00,  7.943059e-01
  2, 46.33, -2.533788e+00,  4.602925e-01,  1.692275e+00,  7.802380e+02,  1.719893e+02,  6.045436e+01,  3.979009e+01,  3.048786e+01,  2.407367e+01,  1.918510e+01,  1.537198e+01,  1.230921e+01,  9.833357e+00,  7.787851e+00,  6.088886e+00,  4.715919e+00,  3.607724e+00,  2.719877e+00,  2.023935e+00,  1.481205e+00,  1.065615e+00
  2, 41.02, -9.231739e-01, -2.624500e+00,  9.447167e-01,  6.427064e+03,  5.242011e+03,  3.865579e+03,  2.732423e+03,  1.829085e+03,  1.162377e+03,  7.038049e+02,  4.098877e+02,  2.292093e+02,  1.238042e+02,  6.415028e+01,  3.174881e+01,  1.528103e+01,  7.167096e+00,  3.272315e+00,  1.471990e+00,  6.495031e-01,  2.819369e-01
  2, 35.79, -1.743101e+00, -2.761299e+00,  1.434988e+00,  7.686599e+03,  4.590056e+03,  2.644658e+03,  1.504654e+03,  8.243194e+02,  4.383027e+02,  2.273920e+02,  1.165720e+02,  5.884266e+01,  2.940766e+01,  1.442565e+01,  6.906355e+00,  3.283426e+00,  1.549586e+00,  7.233405e-01,  3.369175e-01,  1.555430e-01,  7.121557e-02
  2, 39.65, -1.724141e+00, -1.818314e+00,  1.992589e+00,  5.479173e+03,  3.263648e+03,  1.942757e+03,  1.193559e+03,  7.328784e+02,  4.496778e+02,  2.755495e+02,  1.693539e+02,  1.036159e+02,  6.305496e+01,  3.773715e+01,  2.203481e+01,  1.267006e+01,  7.150461e+00,  3.945707e+00,  2.141132e+00,  1.135895e+00,  5.891438e-01
  2, 42.64, -3.334406e+00, -1.533284e-01,  7.349163e-01,  1.328598e+03,  1.276278e+03,  9.982434e+02,  7.907068e+02,  6.262132e+02,  4.946958e+02,  3.891516e+02,  3.049241e+02,  2.368755e+02,  1.822421e+02,  1.379003e+02,  1.020944e+02,  7.425307e+01,  5.285677e+01,  3.670741e+01,  2.491552e+01,  1.644764e+01,  1.054894e+01
  2, 33.95, -1.322935e+00, -3.771472e+00,  1.692091e+00,  8.977711e+03,  5.892521e+03,  3.780183e+03,  2.488885e+03,  1.649346e+03,  1.101386e+03,  7.344167e+02,  4.842426e+02,  3.107396e+02,  1.931972e+02,  1.150843e+02,  6.518017e+01,  3.547870e+01,  1.852171e+01,  9.242494e+00,  4.444424e+00,  2.047916e+00,  9.053099e-01
  2, 46.15, -2.607766e+00, -2.083339e-01,  1.832458e+00,  1.124709e+03,  3.103926e+02,  1.009959e+02,  5.175520e+01,  3.516129e+01,  2.656959e+01,  2.068817e+01,  1.629173e+01,  1.284692e+01,  1.011300e+01,  7.888955e+00,  6.067678e+00,  4.616234e+00,  3.461508e+00,  2.550735e+00,  1.849286e+00,  1.313219e+00,  9.123372e-01
  2, 37.26, -2.816746e+00, -6.089293e-01,  1.110093e+00,  1.956441e+03,  1.626100e+03,  1.228876e+03,  9.422667e+02,  7.207643e+02,  5.485441e+02,  4.145770e+02,  3.113616e+02,  2.311816e+02,  1.695548e+02,  1.219028e+02,  8.542977e+01,  5.867580e+01,  3.936048e+01,  2.570677e+01,  1.639566e+01,  1.016089e+01,  6.115309e+00
  2, 32.54, -9.416913e-01, -2.052220e+00,  1.557906e+00,  9.516676e+03,  6.917955e+03,  4.788410e+03,  3.364734e+03,  2.358409e+03,  1.656456e+03,  1.167735e+03,  8.239664e+02,  5.730260e+02,  3.890273e+02,  2.540725e+02,  1.580982e+02,  9.442861e+01,  5.399585e+01,  2.947972e+01,  1.547619e+01,  7.776923e+00,  3.746929e+00
