 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10C05, LOG10T01, LOG10T02, LOG10T03, LOG10T04, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  5, 47.77,  3.101640e-01, -9.706092e-01, -2.173642e+00,  4.306615e-01, -1.124463e+00,  1.800859e+00,  9.304513e-01,  1.886342e+00,  9.104665e-01,  6.900803e+02,  8.219363e+02,  6.542658e+02,  5.266497e+02,  4.246229e+02,  3.421949e+02,  2.752177e+02,  2.209676e+02,  1.763619e+02,  1.398021e+02,  1.093953e+02,  8.412274e+01,  6.379796e+01,  4.755759e+01,  3.474572e+01,  2.491127e+01,  1.744386e+01,  1.190800e+01
  5, 32.63, -2.701069e+00, -2.372513e+00, -3.584466e+00, -3.097575e+00, -2.467261e+00,  1.702595e+00,  1.879542e+00,  1.156471e+00,  1.204189e+00,  2.320781e+03,  9.221828e+02,  4.624950e+02,  2.577608e+02,  1.451008e+02,  8.144905e+01,  4.551295e+01,  2.554402e+01,  1.433425e+01,  8.066135e+00,  4.507082e+00,  2.482897e+00,  1.363176e+00,  7.427712e-01,  3.994473e-01,  2.129841e-01,  1.117368e-01,  5.761598e-02
  5, 33.18, -2.026730e-02, -2.998697e+00, -3.997651e+00,  5.182727e-01,  5.868271e-01,  1.730440e+00,  9.393916e-01,  8.928711e-01,  1.035374e+00,  4.343035e+03,  3.996330e+03,  3.102946e+03,  2.439806e+03,  1.916322e+03,  1.499918e+03,  1.167825e+03,  9.047869e+02,  6.941470e+02,  5.267721e+02,  3.925537e+02,  2.856732e+02,  2.038784e+02,  1.421417e+02,  9.651096e+01,  6.405450e+01,  4.149901e+01,  2.633050e+01
  5, 42.32,  4.375535e-01, -1.868211e+00, -2.674888e+00, -3.944620e+00, -3.514210e+00,  1.828519e+00,  8.891200e-01,  1.611187e+00,  1.540518e+00,  9.095761e+02,  1.109075e+03,  8.836846e+02,  7.118769e+02,  5.744683e+02,  4.634042e+02,  3.731091e+02,  2.999231e+02,  2.397002e+02,  1.902934e+02,  1.491550e+02,  1.149165e+02,  8.733657e+01,  6.525763e+01,  4.780295e+01,  3.437432e+01,  2.415599e+01,  1.657004e+01
  5, 34.16, -2.197565e+00, -2.699528e-01, -3.680305e-01, -3.267745e-01, -1.604378e+00,  1.033269e+00,  1.479368e+00,  1.433478e+00,  1.160135e+00,  2.241115e+03,  1.871667e+03,  1.430110e+03,  1.113754e+03,  8.680700e+02,  6.749277e+02,  5.222895e+02,  4.023271e+02,  3.069784e+02,  2.318427e+02,  1.721679e+02,  1.251085e+02,  8.935257e+01,  6.242026e+01,  4.244272e+01,  2.813728e+01,  1.814341e+01,  1.142993e+01
  5, 33.22, -1.540825e+00, -3.272414e+00,  2.528121e-01, -7.083139e-01,  3.883960e-01,  1.383621e+00,  1.056417e+00,  9.989745e-01,  1.104354e+00,  9.083469e+03,  5.150563e+03,  2.653956e+03,  1.300448e+03,  6.039233e+02,  2.852628e+02,  1.501171e+02,  9.391096e+01,  6.810592e+01,  5.412968e+01,  4.450824e+01,  3.639732e+01,  2.907202e+01,  2.239355e+01,  1.651748e+01,  1.165844e+01,  7.841833e+00,  5.036745e+00
  5, 37.31,  6.733431e-01, -3.281185e+00, -8.860209e-02, -2.713653e+00,  2.887245e-01,  1.312670e+00,  1.981935e+00,  8.125217e-01,  1.484409e+00,  9.807428e+02,  1.339635e+03,  1.070413e+03,  8.638568e+02,  6.984400e+02,  5.645159e+02,  4.554077e+02,  3.667367e+02,  2.935211e+02,  2.331866e+02,  1.826483e+02,  1.402434e+02,  1.057300e+02,  7.783646e+01,  5.581894e+01,  3.935539e+01,  2.762067e+01,  1.965341e+01
  5, 30.77, -2.619179e+00, -1.719483e+00, -3.207472e+00, -1.138653e+00, -1.628670e+00,  1.721124e+00,  8.823165e-01,  1.146846e+00,  8.880432e-01,  2.563760e+03,  9.269943e+02,  4.439981e+02,  2.648283e+02,  1.756922e+02,  1.218187e+02,  8.507434e+01,  5.917274e+01,  4.059650e+01,  2.744382e+01,  1.812659e+01,  1.163121e+01,  7.311098e+00,  4.490376e+00,  2.687251e+00,  1.574597e+00,  8.987006e-01,  4.996036e-01
  5, 39.77, -1.792187e+00, -5.030359e-02, -1.497324e+00, -1.593744e-01, -4.544888e-01,  7.497461e-01,  8.347556e-01,  1.076408e+00,  1.407644e+00,  1.580845e+03,  1.505176e+03,  1.235814e+03,  1.057499e+03,  9.114498e+02,  7.738194e+02,  6.398051e+02,  5.134585e+02,  3.979620e+02,  2.976939e+02,  2.136193e+02,  1.466338e+02,  9.747118e+01,  6.316768e+01,  4.026483e+01,  2.558871e+01,  1.619394e+01,  1.016420e+01
  5, 32.43, -1.153997e+00, -8.983423e-01, -2.305572e+00, -2.747487e+00,  1.769972e-01,  1.187014e+00,  1.576348e+00,  1.120265e+00,  1.751789e+00,  9.734244e+03,  6.460099e+03,  4.146501e+03,  2.746959e+03,  1.838733e+03,  1.242275e+03,  8.459813e+02,  5.835853e+02,  4.061327e+02,  2.836983e+02,  1.949947e+02,  1.292589e+02,  8.225558e+01,  4.973194e+01,  2.834552e+01,  1.526211e+01,  7.704432e+00,  3.648851e+00
  5, 31.78, -2.398846e+00, -1.646683e+00, -3.380719e+00,  5.372887e-01, -2.080093e+00,  1.962576e+00,  1.527843e+00,  1.298250e+00,  1.026259e+00,  4.149983e+03,  1.691226e+03,  7.596035e+02,  3.754879e+02,  1.958206e+02,  1.064679e+02,  5.762570e+01,  2.989170e+01,  1.437233e+01,  6.376415e+00,  2.603637e+00,  1.008113e+00,  4.219976e-01,  2.293075e-01,  1.703645e-01,  1.492362e-01,  1.352169e-01,  1.212285e-01
  5, 33.56, -1.232200e+00, -3.250429e+00, -2.112464e+00, -1.001224e+00, -7.073943e-01,  1.281728e+00,  1.057051e+00,  7.862184e-01,  1.374383e+00,  9.868795e+03,  6.925245e+03,  4.612201e+03,  2.998156e+03,  1.862600e+03,  1.117410e+03,  6.558389e+02,  3.838056e+02,  2.251726e+02,  1.339037e+02,  8.053628e+01,  4.890573e+01,  3.025475e+01,  1.891082e+01,  1.182054e+01,  7.366178e+00,  4.527062e+00,  2.731302e+00
