 nlayers, height, LOG10C01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  1, 46.79, -2.254952e-01,  1.601336e+03,  1.494806e+03,  1.163459e+03,  9.170445e+02,  7.222758e+02,  5.671010e+02,  4.431051e+02,  3.446609e+02,  2.656046e+02,  2.025759e+02,  1.518320e+02,  1.112348e+02,  7.999706e+01,  5.626857e+01,  3.858413e+01,  2.584624e+01,  1.682981e+01,  1.064278e+01
  1, 41.74, -1.698839e+00,  4.879686e+03,  2.973909e+03,  1.801159e+03,  1.122649e+03,  6.983295e+02,  4.332448e+02,  2.678022e+02,  1.656186e+02,  1.017951e+02,  6.221068e+01,  3.743276e+01,  2.202639e+01,  1.279916e+01,  7.320808e+00,  4.105283e+00,  2.268387e+00,  1.227258e+00,  6.497647e-01
  1, 31.00, -1.823154e+00,  8.889292e+03,  4.754699e+03,  2.617171e+03,  1.510090e+03,  8.767045e+02,  5.113578e+02,  2.989960e+02,  1.759865e+02,  1.034477e+02,  6.073025e+01,  3.522411e+01,  2.003503e+01,  1.129014e+01,  6.281011e+00,  3.434241e+00,  1.854909e+00,  9.830458e-01,  5.108332e-01
  1, 40.19, -3.260993e+00,  6.039838e+02,  1.846483e+02,  7.648159e+01,  3.667424e+01,  1.831241e+01,  9.415925e+00,  4.942136e+00,  2.652963e+00,  1.439209e+00,  7.876618e-01,  4.291831e-01,  2.307164e-01,  1.236672e-01,  6.581145e-02,  3.457507e-02,  1.802819e-02,  9.258964e-03,  4.682950e-03
  1, 41.58, -1.368802e-01,  2.227642e+03,  2.078754e+03,  1.618098e+03,  1.275494e+03,  1.004669e+03,  7.888745e+02,  6.164172e+02,  4.794804e+02,  3.694988e+02,  2.818045e+02,  2.111965e+02,  1.547041e+02,  1.112360e+02,  7.821958e+01,  5.361684e+01,  3.590023e+01,  2.336408e+01,  1.476581e+01
  1, 39.95,  1.606172e-01,  1.758873e+03,  1.806153e+03,  1.424545e+03,  1.137394e+03,  9.087277e+02,  7.248796e+02,  5.763648e+02,  4.569179e+02,  3.595311e+02,  2.805090e+02,  2.155732e+02,  1.623767e+02,  1.203241e+02,  8.739669e+01,  6.202474e+01,  4.307337e+01,  2.912759e+01,  1.915705e+01
  1, 34.09, -1.895986e+00,  6.873912e+03,  3.672971e+03,  2.021186e+03,  1.166245e+03,  6.771970e+02,  3.950923e+02,  2.310858e+02,  1.360602e+02,  8.000589e+01,  4.698460e+01,  2.726081e+01,  1.551085e+01,  8.743504e+00,  4.865741e+00,  2.661196e+00,  1.437762e+00,  7.621644e-01,  3.961476e-01
  1, 31.69,  6.271525e-01,  2.054702e+03,  2.473555e+03,  1.970428e+03,  1.587161e+03,  1.280638e+03,  1.032889e+03,  8.314737e+02,  6.682289e+02,  5.339050e+02,  4.237130e+02,  3.319702e+02,  2.556242e+02,  1.941367e+02,  1.449257e+02,  1.060354e+02,  7.613047e+01,  5.339093e+01,  3.652724e+01
  1, 47.60,  3.180500e-01,  6.906526e+02,  8.254145e+02,  6.571121e+02,  5.289869e+02,  4.265477e+02,  3.437811e+02,  2.765234e+02,  2.220409e+02,  1.772389e+02,  1.405133e+02,  1.099635e+02,  8.456737e+01,  6.413871e+01,  4.781164e+01,  3.492890e+01,  2.503971e+01,  1.753390e+01,  1.197830e+01
  1, 43.55, -3.938228e+00,  1.157103e+02,  2.555058e+01,  9.668482e+00,  4.449157e+00,  2.152995e+00,  1.079476e+00,  5.548342e-01,  2.926747e-01,  1.564192e-01,  8.450991e-02,  4.553075e-02,  2.422839e-02,  1.287223e-02,  6.796401e-03,  3.545419e-03,  1.837656e-03,  9.390349e-04,  4.735498e-04
  1, 49.49, -3.220623e+00,  5.210146e+02,  1.765382e+02,  7.599211e+01,  3.721602e+01,  1.889049e+01,  9.843672e+00,  5.224859e+00,  2.831240e+00,  1.548401e+00,  8.533753e-01,  4.678699e-01,  2.529113e-01,  1.362269e-01,  7.280809e-02,  3.839894e-02,  2.008932e-02,  1.034792e-02,  5.245674e-03
  1, 39.10, -1.903327e+00,  5.100348e+03,  2.830495e+03,  1.600223e+03,  9.431280e+02,  5.579508e+02,  3.309268e+02,  1.964189e+02,  1.171586e+02,  6.969588e+01,  4.135779e+01,  2.422408e+01,  1.390342e+01,  7.899035e+00,  4.426918e+00,  2.436768e+00,  1.324105e+00,  7.055765e-01,  3.684583e-01
  1, 38.49, -2.852346e-01,  3.459156e+03,  3.045837e+03,  2.337717e+03,  1.816913e+03,  1.409047e+03,  1.087702e+03,  8.342796e+02,  6.361509e+02,  4.798233e+02,  3.576576e+02,  2.615041e+02,  1.865063e+02,  1.303944e+02,  8.904815e+01,  5.921153e+01,  3.843779e+01,  2.423937e+01,  1.483921e+01
  1, 35.22,  1.195224e-01,  2.962399e+03,  2.890524e+03,  2.266968e+03,  1.800264e+03,  1.429686e+03,  1.132796e+03,  8.939869e+02,  7.029034e+02,  5.480568e+02,  4.233108e+02,  3.216705e+02,  2.392365e+02,  1.748285e+02,  1.250695e+02,  8.730280e+01,  5.956478e+01,  3.952609e+01,  2.548228e+01
  1, 42.15, -3.603595e+00,  2.653843e+02,  6.938713e+01,  2.739144e+01,  1.282928e+01,  6.291635e+00,  3.188442e+00,  1.653400e+00,  8.786320e-01,  4.725472e-01,  2.566974e-01,  1.389566e-01,  7.426105e-02,  3.960064e-02,  2.097834e-02,  1.097637e-02,  5.703348e-03,  2.920348e-03,  1.474053e-03
  1, 42.10, -3.639687e+00,  2.441162e+02,  6.257737e+01,  2.457000e+01,  1.147980e+01,  5.619423e+00,  2.843552e+00,  1.472734e+00,  7.818192e-01,  4.201096e-01,  2.280392e-01,  1.233612e-01,  6.588718e-02,  3.511688e-02,  1.859447e-02,  9.725024e-03,  5.051375e-03,  2.585746e-03,  1.304943e-03
  1, 49.56, -1.231911e+00,  2.966996e+03,  2.169842e+03,  1.508612e+03,  1.063816e+03,  7.449592e+02,  5.172807e+02,  3.557944e+02,  2.430607e+02,  1.640305e+02,  1.093794e+02,  7.146260e+01,  4.547527e+01,  2.841650e+01,  1.738436e+01,  1.037844e+01,  6.073715e+00,  3.465192e+00,  1.926687e+00
  1, 48.44, -2.954957e+00,  8.926263e+02,  3.399257e+02,  1.538919e+02,  7.764138e+01,  4.034550e+01,  2.143161e+01,  1.156150e+01,  6.351149e+00,  3.514644e+00,  1.956957e+00,  1.082669e+00,  5.900228e-01,  3.200941e-01,  1.721647e-01,  9.131687e-02,  4.801263e-02,  2.484006e-02,  1.263790e-02
  1, 37.03, -1.809654e+00,  6.134236e+03,  3.472942e+03,  1.991370e+03,  1.186705e+03,  7.088701e+02,  4.240245e+02,  2.535783e+02,  1.522557e+02,  9.111035e+01,  5.435004e+01,  3.198569e+01,  1.843843e+01,  1.051661e+01,  5.914643e+00,  3.266054e+00,  1.779788e+00,  9.508371e-01,  4.976851e-01
  1, 43.24, -3.019553e+00,  9.164227e+02,  3.242764e+02,  1.420457e+02,  7.025946e+01,  3.594091e+01,  1.884719e+01,  1.005698e+01,  5.473990e+00,  3.005206e+00,  1.661766e+00,  9.137436e-01,  4.952286e-01,  2.673637e-01,  1.431867e-01,  7.565446e-02,  3.964341e-02,  2.044878e-02,  1.037781e-02
  1, 35.56, -1.889289e+00,  6.329259e+03,  3.433740e+03,  1.909890e+03,  1.111235e+03,  6.499674e+02,  3.816373e+02,  2.244869e+02,  1.328369e+02,  7.845973e+01,  4.626045e+01,  2.693782e+01,  1.537800e+01,  8.694515e+00,  4.851467e+00,  2.659853e+00,  1.440172e+00,  7.649465e-01,  3.982982e-01
  1, 38.03,  4.454713e-01,  1.378274e+03,  1.604464e+03,  1.276070e+03,  1.026479e+03,  8.269910e+02,  6.658773e+02,  5.350173e+02,  4.290756e+02,  3.420200e+02,  2.707187e+02,  2.114697e+02,  1.622788e+02,  1.227716e+02,  9.125664e+01,  6.644697e+01,  4.745469e+01,  3.308681e+01,  2.249298e+01
  1, 31.52, -1.858014e+00,  8.337731e+03,  4.419291e+03,  2.417570e+03,  1.388437e+03,  8.028653e+02,  4.666779e+02,  2.720480e+02,  1.597058e+02,  9.366010e+01,  5.487176e+01,  3.176751e+01,  1.803865e+01,  1.014992e+01,  5.639119e+00,  3.079554e+00,  1.661547e+00,  8.797182e-01,  4.567445e-01
  1, 43.93, -3.457254e+00,  3.569437e+02,  1.024969e+02,  4.159948e+01,  1.974315e+01,  9.780570e+00,  4.997004e+00,  2.608851e+00,  1.394227e+00,  7.534797e-01,  4.110169e-01,  2.233097e-01,  1.197343e-01,  6.403365e-02,  3.400822e-02,  1.783464e-02,  9.284996e-03,  4.762226e-03,  2.406318e-03
  1, 33.51, -1.673882e+00,  8.339107e+03,  4.831498e+03,  2.816310e+03,  1.700191e+03,  1.027193e+03,  6.205962e+02,  3.744317e+02,  2.265697e+02,  1.365213e+02,  8.194135e+01,  4.849282e+01,  2.809687e+01,  1.609877e+01,  9.091238e+00,  5.038789e+00,  2.754918e+00,  1.476192e+00,  7.747428e-01
  1, 41.83, -2.510671e+00,  2.304615e+03,  1.016382e+03,  4.961426e+02,  2.627289e+02,  1.419579e+02,  7.789133e+01,  4.319463e+01,  2.429085e+01,  1.371841e+01,  7.775027e+00,  4.369721e+00,  2.415402e+00,  1.326944e+00,  7.216850e-01,  3.866264e-01,  2.050774e-01,  1.069347e-01,  5.477372e-02
  1, 44.32,  1.070572e-01,  1.276075e+03,  1.324018e+03,  1.045158e+03,  8.351309e+02,  6.678167e+02,  5.332323e+02,  4.244510e+02,  3.369002e+02,  2.654593e+02,  2.074327e+02,  1.596929e+02,  1.205274e+02,  8.951356e+01,  6.518066e+01,  4.638749e+01,  3.231254e+01,  2.192393e+01,  1.447161e+01
  1, 39.88, -1.992732e-01,  2.781827e+03,  2.525349e+03,  1.954203e+03,  1.531423e+03,  1.198463e+03,  9.343560e+02,  7.244169e+02,  5.587661e+02,  4.266870e+02,  3.222454e+02,  2.389468e+02,  1.730125e+02,  1.228820e+02,  8.529981e+01,  5.768386e+01,  3.809034e+01,  2.443835e+01,  1.522226e+01
