 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10T01, LOG10T02, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  3, 49.42, -2.102131e-01, -2.948277e+00, -1.931541e+00,  1.260395e+00,  1.440367e+00,  1.262539e+03,  1.199392e+03,  9.325774e+02,  7.337962e+02,  5.773475e+02,  4.554473e+02,  3.631581e+02,  2.953777e+02,  2.440072e+02,  2.024155e+02,  1.653238e+02,  1.307496e+02,  9.961960e+01,  7.256353e+01,  5.024892e+01,  3.308441e+01,  2.058300e+01,  1.207818e+01
  3, 43.15, -3.123493e+00, -3.925300e+00, -8.234194e-01,  7.924299e-01,  1.374409e+00,  6.286609e+02,  5.183658e+02,  3.945145e+02,  3.048363e+02,  2.351378e+02,  1.805836e+02,  1.378194e+02,  1.045809e+02,  7.850557e+01,  5.824507e+01,  4.239040e+01,  3.009558e+01,  2.094948e+01,  1.424767e+01,  9.437033e+00,  6.104314e+00,  3.836917e+00,  2.342033e+00
  3, 38.26, -3.198100e+00,  5.682197e-01,  3.271776e-01,  1.377627e+00,  1.382300e+00,  1.613476e+02,  2.380478e+02,  1.900086e+02,  1.535032e+02,  1.244104e+02,  1.009207e+02,  8.180915e+01,  6.628327e+01,  5.345942e+01,  4.288324e+01,  3.401474e+01,  2.656489e+01,  2.049146e+01,  1.555578e+01,  1.158638e+01,  8.481286e+00,  6.088911e+00,  4.300482e+00
  3, 39.04, -2.178369e+00, -2.876830e+00, -3.368100e+00,  1.220232e+00,  1.508687e+00,  3.964573e+03,  1.567974e+03,  6.315424e+02,  2.722606e+02,  1.185849e+02,  5.241604e+01,  2.349087e+01,  1.078656e+01,  5.025868e+00,  2.379882e+00,  1.130329e+00,  5.334716e-01,  2.537507e-01,  1.211691e-01,  5.766770e-02,  2.753834e-02,  1.308379e-02,  6.196089e-03
  3, 42.06, -9.317565e-01, -9.733418e-02, -1.996846e+00,  1.269005e+00,  7.350740e-01,  4.281724e+03,  3.191740e+03,  2.162452e+03,  1.442590e+03,  9.496438e+02,  6.444330e+02,  4.675656e+02,  3.624594e+02,  2.886630e+02,  2.282006e+02,  1.745716e+02,  1.274493e+02,  8.887101e+01,  5.889556e+01,  3.694761e+01,  2.201649e+01,  1.240152e+01,  6.606545e+00
  3, 45.48, -5.809501e-01, -2.902907e+00, -2.107860e+00,  1.599895e+00,  1.362632e+00,  2.565825e+03,  2.163059e+03,  1.632875e+03,  1.247799e+03,  9.498054e+02,  7.183434e+02,  5.389831e+02,  4.022231e+02,  2.983573e+02,  2.212209e+02,  1.634396e+02,  1.194132e+02,  8.587706e+01,  5.989372e+01,  4.003585e+01,  2.559168e+01,  1.553184e+01,  8.935198e+00
  3, 31.47, -2.874065e+00, -3.512230e+00,  4.032294e-02,  1.932638e+00,  9.260172e-01,  1.271307e+03,  2.455481e+02,  6.102535e+01,  2.752052e+01,  1.826072e+01,  1.388353e+01,  1.090531e+01,  8.659335e+00,  6.885212e+00,  5.467183e+00,  4.305673e+00,  3.347672e+00,  2.578156e+00,  1.960460e+00,  1.468183e+00,  1.084406e+00,  7.868410e-01,  5.604615e-01
  3, 37.47, -4.025189e-01,  2.285693e-02, -1.721909e+00,  8.462473e-01,  1.421296e+00,  4.062409e+03,  3.298490e+03,  2.340686e+03,  1.683662e+03,  1.219761e+03,  8.942491e+02,  6.630208e+02,  4.964381e+02,  3.720749e+02,  2.779788e+02,  2.051499e+02,  1.490839e+02,  1.079985e+02,  7.849166e+01,  5.729142e+01,  4.174659e+01,  2.978378e+01,  2.048073e+01
  3, 31.78, -3.521651e+00, -2.468885e+00, -2.402519e+00,  1.537306e+00,  1.067353e+00,  1.218355e+03,  6.099900e+02,  3.335802e+02,  1.925025e+02,  1.119726e+02,  6.549041e+01,  3.841393e+01,  2.268434e+01,  1.337806e+01,  7.878881e+00,  4.584013e+00,  2.615169e+00,  1.477868e+00,  8.243450e-01,  4.518349e-01,  2.446007e-01,  1.299038e-01,  6.763583e-02
  3, 36.37,  3.614119e-01, -2.221022e+00, -7.724784e-01,  8.344241e-01,  9.804038e-01,  1.796325e+03,  1.967989e+03,  1.548573e+03,  1.243104e+03,  1.020367e+03,  8.638117e+02,  7.507231e+02,  6.600156e+02,  5.764708e+02,  4.947378e+02,  4.128194e+02,  3.321239e+02,  2.573628e+02,  1.908975e+02,  1.348132e+02,  9.063792e+01,  5.768163e+01,  3.470890e+01
